epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1231.08,0.71118,0.57821,0.82975,0.57327,0.6162,0.62678,0.49023,0.7945,1.05032,0.85228,0.0004456,0.0004456,0.0004456
58,1250.98,0.72882,0.58163,0.83255,0.55118,0.58564,0.56704,0.47169,0.64486,1.06246,0.831,0.0004357,0.0004357,0.0004357
59,1271.92,0.65727,0.54081,0.82041,0.75688,0.50463,0.59336,0.4773,0.71041,1.00748,0.84341,0.0004258,0.0004258,0.0004258
60,1291.88,0.67082,0.52421,0.82373,0.6229,0.64606,0.62918,0.50617,0.7479,1.00243,0.84749,0.0004159,0.0004159,0.0004159
61,1315.54,0.64705,0.51772,0.82508,0.66174,0.59661,0.61626,0.52332,0.62721,1.05509,0.83399,0.000406,0.000406,0.000406
62,1337.78,0.65782,0.55104,0.82009,0.51668,0.61025,0.60572,0.50431,0.65263,1.05276,0.8383,0.0003961,0.0003961,0.0003961
63,1357.71,0.67021,0.51616,0.81796,0.57038,0.61701,0.61256,0.49711,0.72416,1.03294,0.84344,0.0003862,0.0003862,0.0003862
64,1379.03,0.66779,0.52293,0.824,0.66591,0.571,0.62286,0.51357,0.70917,0.99651,0.84565,0.0003763,0.0003763,0.0003763
65,1399.09,0.63863,0.49058,0.81941,0.72709,0.57049,0.62478,0.51125,0.66243,0.93914,0.83437,0.0003664,0.0003664,0.0003664
66,1419.28,0.6329,0.51254,0.81646,0.68463,0.5621,0.61452,0.51359,0.6384,0.96736,0.83208,0.0003565,0.0003565,0.0003565
67,1440.34,0.66957,0.54946,0.82103,0.53829,0.62167,0.61413,0.50035,0.66173,1.03099,0.8355,0.0003466,0.0003466,0.0003466
68,1459.48,0.64083,0.49602,0.81466,0.55591,0.6316,0.62923,0.51905,0.63392,0.99146,0.8228,0.0003367,0.0003367,0.0003367
69,1480.56,0.64351,0.5029,0.81819,0.78794,0.53405,0.61709,0.50739,0.65151,1.01301,0.82416,0.0003268,0.0003268,0.0003268
70,1500.97,0.65702,0.52232,0.83068,0.62788,0.57679,0.63282,0.51865,0.68742,1.00473,0.83167,0.0003169,0.0003169,0.0003169
71,1522.45,0.60571,0.49372,0.815,0.63149,0.59172,0.61045,0.51081,0.6364,1.04982,0.82506,0.000307,0.000307,0.000307
72,1544.43,0.6286,0.50675,0.82167,0.62287,0.5695,0.59189,0.48461,0.66473,1.11311,0.82729,0.0002971,0.0002971,0.0002971
73,1565.44,0.62736,0.48682,0.80911,0.6577,0.56696,0.59308,0.48355,0.67653,1.06165,0.83367,0.0002872,0.0002872,0.0002872
74,1587.4,0.62536,0.46555,0.82004,0.68869,0.57204,0.59784,0.49721,0.63691,1.00148,0.83244,0.0002773,0.0002773,0.0002773
75,1607.59,0.60458,0.4571,0.81422,0.6964,0.55546,0.59942,0.487,0.66805,0.99656,0.83272,0.0002674,0.0002674,0.0002674
76,1629.02,0.6391,0.47535,0.81929,0.54925,0.64132,0.60518,0.50074,0.64453,0.99217,0.82836,0.0002575,0.0002575,0.0002575
77,1649.39,0.61458,0.46046,0.82775,0.62575,0.61077,0.61736,0.50536,0.63578,0.98911,0.82307,0.0002476,0.0002476,0.0002476
78,1669.28,0.58939,0.45766,0.81074,0.68772,0.59245,0.61239,0.50921,0.62568,1.00495,0.82226,0.0002377,0.0002377,0.0002377
79,1690.45,0.58253,0.4312,0.8057,0.68212,0.54785,0.60641,0.49313,0.68869,1.03141,0.83001,0.0002278,0.0002278,0.0002278
80,1710.79,0.60335,0.43713,0.82228,0.68083,0.54926,0.61466,0.50649,0.65521,1.01694,0.83152,0.0002179,0.0002179,0.0002179
81,1731.1,0.57264,0.44516,0.80936,0.64303,0.58428,0.60979,0.51097,0.62083,0.98964,0.82391,0.000208,0.000208,0.000208
